0,75
1,123
2,517
3,534
4,841
5,537
6,518
7,541
8,541
9,549
10,501
11,466
12,455
13,605
14,588
15,565
16,689
17,826
18,845
19,547
20,574
21,437
22,247
23,391
24,276
25,601
26,668
27,861
28,129
29,172
30,200
31,91
32,139
33,135
34,151
35,124
36,111
37,122
38,132
39,260
40,122
41,113
42,125
43,155
44,119
45,74
46,124
47,225
48,244
49,254
50,240
51,227
52,237
53,105
54,96
55,192
56,239
57,366
58,212
59,216
60,244
61,193
62,188
63,104
64,230
65,513
66,86
67,165
68,266
69,245
70,333
71,94
72,93
73,121
74,107
75,89
76,168
77,94
78,198
79,147
80,217
81,343
82,519
83,871
84,733
85,630
86,647
87,896
88,811
89,766
90,751
91,751
92,836
93,696
94,917
95,841
96,722
97,671
98,645
99,629
100,685
101,683
102,677
103,683
104,781
105,986
106,771
107,771
108,856
109,756
110,816
111,761
112,751
113,836
114,846
115,846
116,908
117,836
118,427
119,461
120,424
121,463
122,422
123,432
124,407
125,410
126,401
127,987
128,654
129,338
130,624
